codigo,tipo,descricao,cidade,estado,data,ano,hora,aeronave_liberada,status_investigacao,aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_tipo,aeronave_fabricante,motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_fase_operacao,aeronave_nivel_dano
40209,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO,RJ,2010-03-21,2010,13:46:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,2,1978,BRASIL,RETA FINAL,NENHUM
40210,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO,RJ,2010-03-20,2010,20:02:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,5,1974,BRASIL,SUBIDA,NENHUM
40211,INCIDENTE,TRÁFEGO AÉREO,RIO DE JANEIRO,RJ,2010-01-03,2010,12:00:00,SIM,FINALIZADA,1,NÃO,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,14,2007,BRASIL,DECOLAGEM,NENHUM
40212,INCIDENTE,FALHA DO MOTOR NO SOLO,UBERLÂNDIA,MG,2010-03-20,2010,12:14:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,INDETERMINADO,PISTÃO,MONOMOTOR,4,2008,BRASIL,CORRIDA APÓS POUSO,NENHUM
40213,INCIDENTE GRAVE,COM TREM DE POUSO,GOIÂNIA,GO,2010-04-09,2010,21:00:00,INDETERMINADO,ATIVA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,6,1970,BRASIL,POUSO,LEVE
40214,ACIDENTE,POUSO EM LOCAL NÃO PREVISTO,REDENÇÃO,PA,2010-04-12,2010,19:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,6,1974,BRASIL,POUSO,SUBSTANCIAL
40215,INCIDENTE,TRÁFEGO AÉREO,COARI,AM,2010-01-07,2010,18:40:00,SIM,FINALIZADA,1,SIM,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,52,1996,BRASIL,POUSO,NENHUM
40227,INCIDENTE,VAZAMENTO DE OUTROS FLUIDOS,AREALVA,SP,2010-04-12,2010,14:03:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,50,1992,BRASIL,TÁXI,NENHUM
40228,INCIDENTE,COLISÃO COM AVE,SÃO JOSÉ DOS CAMPOS,SP,2010-04-12,2010,17:17:00,SIM,FINALIZADA,1,NÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,7,1972,BRASIL,CIRCUITO DE TRÁFEGO,LEVE
40247,INCIDENTE,PERDA DE CONTROLE NO SOLO,FLORIANÓPOLIS,SC,2010-04-17,2010,23:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,6,1977,BRASIL,TÁXI,LEVE
40248,INCIDENTE,ESTOURO DE PNEU,PORTO ALEGRE,RS,2010-04-13,2010,18:47:00,SIM,FINALIZADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,3,2000,BRASIL,TÁXI,LEVE
40250,ACIDENTE,PERDA DE CONTROLE EM VOO,LUZIÂNIA,GO,2010-04-08,2010,20:00:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,NILSON SULZBACH PERES,PISTÃO,MONOMOTOR,2,1989,BRASIL,POUSO,SUBSTANCIAL
40251,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FLORIANÓPOLIS,SC,2010-04-04,2010,17:00:00,SIM,FINALIZADA,1,NÃO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,6,1983,BRASIL,PAIRADO,NENHUM
40258,INCIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,MONTE ALEGRE,PA,2010-04-12,2010,18:10:00,SIM,FINALIZADA,1,NÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,7,1977,BRASIL,CORRIDA APÓS POUSO,LEVE
40260,INCIDENTE,COLISÃO COM AVE,BELO HORIZONTE,MG,2010-03-12,2010,18:10:00,SIM,FINALIZADA,1,NÃO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,6,1996,BRASIL,CIRCUITO DE TRÁFEGO,LEVE
40261,INCIDENTE,POUSO SEM TREM,MACAÉ,RJ,2010-04-15,2010,13:10:00,SIM,FINALIZADA,1,NÃO,ULTRALEVE,EDSON PIMENTEL MATHEUS,PISTÃO,MONOMOTOR,2,2002,BRASIL,POUSO,LEVE
40262,INCIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,SÃO PAULO,SP,2010-04-14,2010,01:42:00,SIM,FINALIZADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,10,1999,BRASIL,TÁXI,LEVE
40264,ACIDENTE,POUSO EM LOCAL NÃO PREVISTO,CAMPO VERDE,MT,2010-04-20,2010,16:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,6,1978,BRASIL,POUSO,SUBSTANCIAL
40267,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,VERA CRUZ,BA,2010-04-04,2010,11:00:00,SIM,FINALIZADA,1,NÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,8,1973,BRASIL,CRUZEIRO,NENHUM
40269,INCIDENTE GRAVE,COM TREM DE POUSO,ANÁPOLIS,GO,2010-04-07,2010,19:30:00,SIM,FINALIZADA,1,SIM,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,6,1979,BRASIL,POUSO,LEVE
40270,INCIDENTE GRAVE,FOGO NO SOLO,PIRASSUNUNGA,SP,2010-04-15,2010,20:15:00,INDETERMINADO,ATIVA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,2,1985,BRASIL,PARTIDA DO MOTOR,SUBSTANCIAL
40271,ACIDENTE,PERDA DE CONTROLE EM VOO,RECIFE,PE,2010-04-21,2010,11:27:00,SIM,FINALIZADA,1,NÃO,AVIÃO,CIA AERONAUTICA PAULISTA,PISTÃO,MONOMOTOR,2,1946,BRASIL,DECOLAGEM,LEVE
40273,INCIDENTE,ESTOURO DE PNEU,RIO BRANCO,AC,2010-03-23,2010,14:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,11,1993,BRASIL,POUSO,LEVE
40275,INCIDENTE,OUTROS,BRASÍLIA,DF,2010-04-02,2010,18:15:00,SIM,FINALIZADA,1,NÃO,AVIÃO,PILATUS,TURBOÉLICE,MONOMOTOR,10,2004,BRASIL,TÁXI,NENHUM
40287,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ITAJAÍ,SC,2010-03-31,2010,13:00:00,SIM,FINALIZADA,1,NÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,6,1972,BRASIL,DECOLAGEM,NENHUM
40288,INCIDENTE,COLISÃO COM AVE,FORTALEZA,CE,2010-04-01,2010,13:16:00,SIM,FINALIZADA,1,NÃO,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,194,2006,BRASIL,DECOLAGEM,LEVE
40290,INCIDENTE,OUTROS,VITÓRIA,ES,2010-02-07,2010,02:09:00,SIM,FINALIZADA,1,NÃO,AVIÃO,EMBRAER,JATO,BIMOTOR,93,2009,BRASIL,CORRIDA APÓS POUSO,NENHUM
40291,INCIDENTE,FALHA DO MOTOR EM VOO,CONFINS,MG,2010-04-03,2010,20:25:00,SIM,FINALIZADA,1,NÃO,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,197,2009,BRASIL,CRUZEIRO,NENHUM
40292,INCIDENTE,FALHA DO MOTOR EM VOO,CAMPINAS,SP,2010-04-08,2010,20:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,73,2010,BRASIL,OUTRA FASE,NENHUM
40293,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO,RJ,2010-04-18,2010,16:23:00,SIM,FINALIZADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,5,1964,BRASIL,DESCIDA,NENHUM
40294,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO,RJ,2010-04-16,2010,20:00:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AEROMOT,PISTÃO,MONOMOTOR,2,2005,BRASIL,TÁXI,NENHUM
40295,INCIDENTE,OUTROS,RIO BRANCO,AC,2010-04-11,2010,19:20:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,184,2003,BRASIL,TÁXI,NENHUM
40296,INCIDENTE,FALHA DO MOTOR EM VOO,CURITIBA,PR,2010-02-26,2010,22:32:00,SIM,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,7,1990,BRASIL,APROXIMAÇÃO FINAL,NENHUM
40307,INCIDENTE,ESTOURO DE PNEU,BELÉM,PA,2010-03-16,2010,20:00:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AEROMOT,PISTÃO,MONOMOTOR,2,2006,BRASIL,POUSO,LEVE
40310,INCIDENTE,TRÁFEGO AÉREO,CRUZEIRO DO SUL,AC,2010-01-18,2010,19:32:00,SIM,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,7,1984,BRASIL,DECOLAGEM,NENHUM
40311,INCIDENTE,TRÁFEGO AÉREO,RIO DE JANEIRO,RJ,2010-01-19,2010,13:20:00,SIM,FINALIZADA,1,NÃO,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,14,2006,BRASIL,CRUZEIRO,NENHUM
40312,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAMPOS DOS GOYTACAZES,RJ,2010-03-09,2010,19:18:00,SIM,FINALIZADA,1,NÃO,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,14,2006,BRASIL,CRUZEIRO,NENHUM
40314,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO,SP,2010-03-04,2010,23:50:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,50,1987,BRASIL,SUBIDA,LEVE
40316,INCIDENTE GRAVE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TIMÓTEO,MG,2010-02-26,2010,14:40:00,SIM,FINALIZADA,1,NÃO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,6,2006,BRASIL,DESCIDA,SUBSTANCIAL
40318,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,JUIZ DE FORA,MG,2010-02-22,2010,13:47:00,SIM,FINALIZADA,1,NÃO,ULTRALEVE,INDETERMINADO,PISTÃO,MONOMOTOR,2,2000,BRASIL,SUBIDA,NENHUM
40320,INCIDENTE,COM TREM DE POUSO,GUARULHOS,SP,2010-03-15,2010,09:57:00,SIM,FINALIZADA,1,NÃO,AVIÃO,FOKKER,JATO,BIMOTOR,107,1992,BRASIL,DECOLAGEM,NENHUM
40321,INCIDENTE,OUTROS,LONDRINA,PR,2010-04-20,2010,16:11:00,SIM,FINALIZADA,1,NÃO,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,6,1981,BRASIL,DECOLAGEM,NENHUM
40322,INCIDENTE,COM TREM DE POUSO,BELÉM,PA,2010-03-15,2010,18:15:00,SIM,FINALIZADA,1,NÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,4,1972,BRASIL,POUSO,LEVE
40323,INCIDENTE,COM TREM DE POUSO,SÃO PAULO,SP,2010-04-15,2010,20:20:00,SIM,FINALIZADA,1,NÃO,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,4,2007,BRASIL,TÁXI,NENHUM
40324,INCIDENTE,OUTROS,PELOTAS,RS,2010-01-05,2010,19:25:00,SIM,FINALIZADA,1,NÃO,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,34,1995,BRASIL,TÁXI,NENHUM
40325,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,EXU,PE,2010-02-19,2010,10:20:00,INDETERMINADO,ATIVA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,4,1962,BRASIL,POUSO,NENHUM
40326,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RECIFE,PE,2010-03-31,2010,15:20:00,SIM,FINALIZADA,1,NÃO,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,8,1978,BRASIL,SUBIDA,NENHUM
39115,ACIDENTE,PANE SECA,CORRENTINA,BA,2010-02-07,2010,17:40:00,SIM,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,4,1979,BRASIL,DECOLAGEM,SUBSTANCIAL
39155,INCIDENTE,VAZAMENTO DE COMBUSTÍVEL,BELO HORIZONTE,MG,2010-02-05,2010,12:55:00,SIM,FINALIZADA,1,NÃO,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,8,1979,BRASIL,DECOLAGEM,NENHUM
39156,INCIDENTE GRAVE,FOGO EM VOO,CASCAVEL,PR,2010-01-10,2010,23:15:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,73,2008,BRASIL,ARREMETIDA NO AR,LEVE
39158,INCIDENTE,SUPERAQUECIMENTO,BELÉM,PA,2010-01-28,2010,16:00:00,SIM,FINALIZADA,1,NÃO,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,5,1984,BRASIL,SUBIDA,NENHUM
39176,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO LUÍS,MA,2010-02-05,2010,09:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,184,2001,BRASIL,SUBIDA,NENHUM
39178,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAMPINAS,SP,2010-02-08,2010,12:33:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,184,2001,BRASIL,SUBIDA,NENHUM
39235,ACIDENTE,PERDA DE CONTROLE EM VOO,ITUMBIARA,GO,2010-02-06,2010,17:20:00,SIM,FINALIZADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1,1976,BRASIL,DECOLAGEM,DESTRUÍDA
39275,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO,SP,2010-02-10,2010,09:03:00,SIM,FINALIZADA,1,NÃO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,6,1994,BRASIL,CRUZEIRO,DESTRUÍDA
39295,ACIDENTE,PERDA DE CONTROLE EM VOO,RIO DE JANEIRO,RJ,2010-02-06,2010,21:09:00,INDETERMINADO,INDETERMINADA,1,NÃO,ULTRALEVE,INDETERMINADO,PISTÃO,MONOMOTOR,2,2004,BRASIL,APROXIMAÇÃO FINAL,SUBSTANCIAL
39315,ACIDENTE,OUTROS,CANUTAMA,AM,2010-01-15,2010,21:22:00,INDETERMINADO,FINALIZADA,1,NÃO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,6,1981,BRASIL,CRUZEIRO,INDETERMINADO
39316,ACIDENTE,POUSO ANTES DA PISTA,RIO DO OESTE,SC,2010-02-04,2010,17:55:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,2,1992,BRASIL,POUSO,SUBSTANCIAL
39317,ACIDENTE,POUSO BRUSCO,RIO VERDE,GO,2010-02-24,2010,13:00:00,INDETERMINADO,FINALIZADA,1,NÃO,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,2,1993,BRASIL,POUSO,SUBSTANCIAL
39318,ACIDENTE,FALHA DO MOTOR EM VOO,SENADOR JOSÉ PORFÍRIO,PA,2010-01-25,2010,16:20:00,INDETERMINADO,FINALIZADA,1,NÃO,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1,1976,BRASIL,DESCIDA,SUBSTANCIAL
39319,ACIDENTE,PANE SECA,IPERÓ,SP,2010-01-27,2010,11:25:00,SIM,FINALIZADA,1,NÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,6,1981,BRASIL,SUBIDA,DESTRUÍDA
39320,ACIDENTE,PERDA DE CONTROLE EM VOO,FAROL,PR,2010-01-19,2010,18:30:00,INDETERMINADO,FINALIZADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1,1977,BRASIL,DECOLAGEM,SUBSTANCIAL
39321,ACIDENTE,PERDA DE CONTROLE EM VOO,PONTES E LACERDA,MT,2010-01-23,2010,13:00:00,INDETERMINADO,FINALIZADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,6,1981,BRASIL,POUSO,DESTRUÍDA
39322,ACIDENTE,PERDA DE CONTROLE EM VOO,SÃO BERNARDO DO CAMPO,SP,2010-01-26,2010,13:50:00,SIM,FINALIZADA,1,NÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,4,1997,BRASIL,DECOLAGEM,SUBSTANCIAL
39323,ACIDENTE,PERDA DE CONTROLE EM VOO,CASIMIRO DE ABREU,RJ,2010-01-24,2010,16:15:00,INDETERMINADO,INDETERMINADA,1,NÃO,ULTRALEVE,INDETERMINADO,PISTÃO,MONOMOTOR,2,2000,BRASIL,SUBIDA,SUBSTANCIAL
39365,INCIDENTE,COLISÃO COM AVE,GOIÂNIA,GO,2010-02-12,2010,16:48:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,184,2001,BRASIL,DECOLAGEM,INDETERMINADO
39367,INCIDENTE,PERDA DE CONTROLE NO SOLO,SÃO JOSÉ DO RIO PRETO,SP,2010-02-07,2010,22:59:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,3,1992,BRASIL,CORRIDA APÓS POUSO,LEVE
39385,INCIDENTE GRAVE,POUSO SEM TREM,BRASÍLIA,DF,2010-02-21,2010,17:00:00,SIM,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,4,1976,BRASIL,POUSO,SUBSTANCIAL
39386,INCIDENTE,FALHA DO MOTOR EM VOO,SÃO PAULO,SP,2010-02-18,2010,10:10:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,50,1987,BRASIL,CRUZEIRO,NENHUM
39405,ACIDENTE,PERDA DE CONTROLE EM VOO,ITIQUIRA,MT,2010-02-07,2010,11:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1,2000,BRASIL,ESPECIALIZADA,SUBSTANCIAL
39487,INCIDENTE GRAVE,POUSO SEM TREM,PALMAS,TO,2010-01-26,2010,16:50:00,SIM,FINALIZADA,1,NÃO,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,4,1994,BRASIL,POUSO,SUBSTANCIAL
39507,ACIDENTE,FALHA DO MOTOR EM VOO,PRIMAVERA DO LESTE,MT,2010-01-11,2010,17:00:00,SIM,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1,2005,BRASIL,OUTRA FASE,SUBSTANCIAL
39527,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,LUCAS DO RIO VERDE,MT,2010-01-04,2010,17:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1,2004,BRASIL,VOO A BAIXA ALTURA,SUBSTANCIAL
39627,INCIDENTE,F.O.D.,FLORIANÓPOLIS,SC,2010-01-27,2010,16:15:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,184,2009,BRASIL,TÁXI,LEVE
39687,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,PORTO UNIÃO,SC,2010-01-28,2010,10:30:00,NÃO,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1,2003,BRASIL,ESPECIALIZADA,NENHUM
39707,INCIDENTE GRAVE,COM TREM DE POUSO,CANUTAMA,AM,2010-01-09,2010,12:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,7,1979,BRASIL,CRUZEIRO,LEVE
39709,INCIDENTE GRAVE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CURITIBA,PR,2010-01-23,2010,16:36:00,INDETERMINADO,FINALIZADA,1,SIM,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,7,1980,BRASIL,CORRIDA APÓS POUSO,NENHUM
39711,INCIDENTE GRAVE,COM TREM DE POUSO,PARÁ DE MINAS,MG,2010-01-10,2010,20:00:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,ANTONIO CESAR DA SILVA AMARAL,PISTÃO,MONOMOTOR,4,2009,BRASIL,POUSO,SUBSTANCIAL
39727,INCIDENTE GRAVE,COM TREM DE POUSO,VÁRZEA GRANDE,MT,2010-02-23,2010,19:42:00,SIM,FINALIZADA,1,SIM,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,20,1991,BRASIL,POUSO,LEVE
39747,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CAIRU,BA,2010-01-31,2010,19:47:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,10,1976,BRASIL,DECOLAGEM,LEVE
39748,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CAMBÉ,PR,2010-02-03,2010,14:30:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1,1975,BRASIL,ESPECIALIZADA,NENHUM
39768,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,CAMPINAS,SP,2010-01-21,2010,20:45:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,HAWKER BEECHCRAFT,TURBOÉLICE,BIMOTOR,9,2008,BRASIL,MANOBRA,LEVE
39772,INCIDENTE,ESTOURO DE PNEU,UBERLÂNDIA,MG,2010-01-20,2010,18:58:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,PILATUS,TURBOÉLICE,MONOMOTOR,10,2006,BRASIL,CORRIDA APÓS POUSO,NENHUM
39787,INCIDENTE,PERDA DE CONTROLE NO SOLO,GOIÂNIA,GO,2010-01-31,2010,21:00:00,INDETERMINADO,INDETERMINADA,1,SIM,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,2,1990,BRASIL,CORRIDA APÓS POUSO,LEVE
39789,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PEDRO DO SUL,RS,2010-01-10,2010,21:30:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1,1977,BRASIL,CHEQUE DE MOTOR OU ROTOR,LEVE
